Entry,COOK?,MEAT,Recipe,,,,,
三杯鸡,1,1,鸡|bazel,,,,,
上海菜,,0,上海菜,,,,,
丝瓜蛋汤,,0,丝瓜|蛋,,,,,
内酯豆腐,,1,soft豆腐|肉末|青椒|红椒,,,,,
冬瓜榨菜汤,,0,冬瓜|榨菜,,,,,
冬瓜毛豆,,0,冬瓜|毛豆,,,,,
凉拌黄瓜,,0,黄瓜,,,,,
卤牛肉,,1,牛腱肉,,,,,
口水鸡,,1,鸡腿,,,,,
可乐鸡翅,,1,鸡翅,,,,,
台湾卤肉饭,,1,五花肉|鸡蛋,,,,,
咖喱牛肉,,1,牛肉|胡萝卜,,,,,
啤酒鸭（半只）,,1,鸭子,,,,,
回锅肉,,1,五花肉|leek|青椒,,,,,
土豆炖牛肉,,1,土豆|牛肉,,,,,
培根芦笋卷,,0,芦笋|培根,,,,,
大盆花菜,,0,白花菜|五花肉,,,,,
大盘鸡,1,1,半只鸡|土豆|青椒,,,,,
天麸罗虾,,1,虾|面包粉,,,,,
孜然羊肉,1,1,羊肉,,,,,
宫保鸡丁,,1,鸡胸肉|花生|黄瓜,,,,,
干煸豆角,,0,四季豆|肉末,,,,,
手撕包菜,,0,卷心菜,,,,,
木耳炒肉,,1,黑木耳|瘦猪肉,,,,,
杏鲍菇牛肉,,1,牛肉|青椒|杏鲍菇,,,,,
榨菜肉丝面,,1,榨菜|瘦猪肉,,,,,
油麦菜,,0,油麦菜,,,,,
清炒西蓝花,,0,西兰花,,,,,
滑蛋牛肉,,1,鸡蛋|牛肉,,,,,
炒豆芽,,0,豆芽菜,,,,,
炒豆苗,,0,豆苗,,,,,
炒青菜,,0,上海青,,,,,
炖鸡汤,,1,整鸡,,,,,
炸酱面,,1,黄豆酱|肉末|黄瓜,,,,,
烤牛排,,1,牛排,,,,,
焦溜豆腐,,0,firm豆腐|leek|五花肉,,,,,
熟食,,1,文华熟食,,,,,
牛肉饼,,1,面粉|牛肉末,,,,,
番茄炒蛋,,0,番茄|鸡蛋,,,,,
番茄花菜,,0,番茄|花椰菜,,,,,
番茄豆腐,,0,番茄|soft豆腐,,,,,
白菜年糕,,0,白菜|切片年糕|瘦猪肉,,,,,
皮蛋瘦肉粥,,1,皮蛋|猪肉末,,,,,
蒜泥空心菜,,0,空心菜,,,,,
笋炒腊肉,,1,竹笋|腊肉,,,,,
糖醋排骨,,1,排骨,,,,,
素炒豆角,,0,四季豆,,,,,
红枣银耳汤,,0,红枣|银耳,,,,,
红烧大虾,,1,虾,,,,,
红烧肉,,1,五花肉,,,,,
红烧鸡块,,1,鸡腿肉,,,,,
老坛酸菜牛肉面,,1,酸菜|牛腩,,,,,
老鸭粉丝汤,,1,粉丝|鸭子,,,,,
肉丝杏鲍菇,,1,杏鲍菇|瘦猪肉,,,,,
肉丸子玉米汤,,1,肉末|玉米,,,,,
肉末茄子,,1,茄子|肉末,,,,,
肉末酸豆角,,1,酸豆角|肉末,,,,,
肉饼蒸蛋,,1,鸡蛋|肉末,,,,,
胡萝卜炒肉,,1,胡萝卜|肉末,,,,,
腊肉荷兰豆,,1,腊肉|荷兰豆,,,,,
芦笋炒鸡片,,1,芦笋|鸡胸肉,,,,,
芹菜腊肉,,1,芹菜|腊肉,,,,,
芹菜鸡丝,,1,芹菜|鸡胸肉,,,,,
苦瓜炒蛋,,0,苦瓜|鸡蛋,,,,,
菌菇鸡腿,,1,香菇|鸡腿|小长蘑菇,,,,,
菠萝古老肉,,1,菠萝|瘦猪肉|青椒,,,,,
蒜泥生菜,,0,生菜,,,,,
蔬菜鸡肉沙拉,,1,鸡胸肉|紫甘蓝|生菜|小番茄,,,,,
虎皮尖椒,,0,青椒（长）,,,,,
西湖牛肉羹,,1,牛肉末|鸡蛋,,,,,
西红柿鸡蛋汤,,0,番茄|鸡蛋,,,,,
辣椒酿,,1,青椒|肉末,,,,,
酸菜白肉,,1,白酸菜|五花肉片,,,,,
酸菜鱼,,1,酸菜|swai鱼片,,,,,
酸辣白菜帮,,0,白菜,,,,,
酸辣粉,,0,红薯粉|花生|肉末,,,,,
青椒五花肉,,1,青椒|五花肉,,,,,
青椒肉丝,,1,青椒|瘦猪肉,,,,,
青椒鸡丝,,1,青椒|鸡胸肉,,,,,
香煎三文鱼,,1,三文鱼片,,,,,
香肠炒荷兰豆,,1,香肠|荷兰豆,,,,,
香肠焖饭,,1,香肠,,,,,
香菇时蔬牛肉丸,,1,牛肉末|香菇,,,,,
香辣虾,,1,虾,,,,,
鱼香肉丝,,1,瘦猪肉|胡萝卜|黑木耳,,,,,
鱼香茄子,,1,茄子|肉末,,,,,
鱿鱼芹菜,,1,鱿鱼|芹菜,,,,,
鸡蛋羹,,0,鸡蛋,,,,,
麻婆豆腐,,1,soft豆腐,,,,,
麻辣里脊丝,,1,鸡胸肉,,,,,
麻辣鸡丝凉面,,1,鸡胸肉,,,,,
麻辣鸡杂,,1,鸡杂,,,,,
农家小炒肉,,1,瘦猪肉|五花肉片|螺丝椒,,,,,
红烧罗非鱼,,1,罗非鱼,,,,,
红烧catfish,,1,catfish|soft豆腐,,,,,
苦瓜酿,,1,苦瓜|肉末,,,,,