Entry,COOK?,MEAT,OneCol,黄瓜,蒜,五花肉,大葱,姜,牛肉,土豆,豆芽,空心菜,排骨,肉末,玉米,胡萝卜,青椒,芹菜,鱿鱼,SOFT豆腐,瘦猪肉,螺丝青椒,苦瓜,鸡蛋,白菜
三杯鸡,,1,,,,,,,,,,,,,,,,,,,,,,,
上海菜,,0,,,,,,,,,,,,,,,,,,,,,,,
丝瓜蛋汤,,0,,,,,,,,,,,,,,,,,,,,,,,
内酯豆腐,,1,,,,,,,,,,,,,,,,,,,,,,,
冬瓜榨菜汤,,0,,,,,,,,,,,,,,,,,,,,,,,
冬瓜毛豆,,0,,,,,,,,,,,,,,,,,,,,,,,
凉拌黄瓜,1,0,,1,1,,,,,,,,,,,,,,,,,,,,
卤牛肉,,1,,,,,,,,,,,,,,,,,,,,,,,
口水鸡,,1,,,,,,,,,,,,,,,,,,,,,,,
可乐鸡翅,,1,,,,,,,,,,,,,,,,,,,,,,,
台湾卤肉饭,,1,,,,,,,,,,,,,,,,,,,,,,,
咖喱牛肉,,1,,,,,,,,,,,,,,,,,,,,,,,
啤酒鸭（半只）,,1,,,,,,,,,,,,,,,,,,,,,,,
回锅肉,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,
土豆炖牛肉,0,1,,,,,,,1,1,,,,,,,,,,,,,,,
培根芦笋卷,,0,,,,,,,,,,,,,,,,,,,,,,,
大盆花菜,,0,,,,,,,,,,,,,,,,,,,,,,,
大盘鸡,,1,,,,,,,,,,,,,,,,,,,,,,,
天麸罗虾,,1,,,,,,,,,,,,,,,,,,,,,,,
孜然羊肉,,1,,,,,,,,,,,,,,,,,,,,,,,
宫保鸡丁,,1,,,,,,,,,,,,,,,,,,,,,,,
干煸豆角,,0,,,,,,,,,,,,,,,,,,,,,,,
手撕包菜,,0,,,,,,,,,,,,,,,,,,,,,,,
新疆大盘鸡,,1,,,,,,,,,,,,,,,,,,,,,,,
木耳炒肉,,1,,,,,,,,,,,,,,,,,,,,,,,
杏鲍菇牛肉,,1,,,,,,,,,,,,,,,,,,,,,,,
榨菜冬瓜汤,,0,,,,,,,,,,,,,,,,,,,,,,,
榨菜肉丝面,,1,,,,,,,,,,,,,,,,,,,,,,,
油麦菜,,0,,,,,,,,,,,,,,,,,,,,,,,
清炒西蓝花,,0,,,,,,,,,,,,,,,,,,,,,,,
滑蛋牛肉,,1,,,,,,,,,,,,,,,,,,,,,,,
炒豆芽,0,0,,,,,,,,,1,,,,,,,,,,,,,,
炒豆苗,,0,,,,,,,,,,,,,,,,,,,,,,,
炒青菜,,0,,,,,,,,,,,,,,,,,,,,,,,
炖鸡汤,,1,,,,,,,,,,,,,,,,,,,,,,,
炸酱面,,1,,,,,,,,,,,,,,,,,,,,,,,
烤牛排,,1,,,,,,,,,,,,,,,,,,,,,,,
焦溜豆腐,,0,,,,,,,,,,,,,,,,,,,,,,,
熟食,,1,,,,,,,,,,,,,,,,,,,,,,,
牛肉饼,,1,,,,,,,,,,,,,,,,,,,,,,,
番茄炒蛋,,0,,,,,,,,,,,,,,,,,,,,,,,
番茄花菜,,0,,,,,,,,,,,,,,,,,,,,,,,
番茄豆腐,,0,,,,,,,,,,,,,,,,,,,,,,,
白菜一颗,,0,,,,,,,,,,,,,,,,,,,,,,,
白菜年糕,,0,,,,,,,,,,,,,,,,,,,,,,,
皮蛋瘦肉粥,,1,,,,,,,,,,,,,,,,,,,,,,,
空心菜,0,0,,,,,,,,,,1,,,,,,,,,,,,,
笋炒腊肉,,1,,,,,,,,,,,,,,,,,,,,,,,
糖醋排骨,0,1,,,,,,,,,,,1,,,,,,,,,,,,
素炒豆角,,0,,,,,,,,,,,,,,,,,,,,,,,
红枣银耳汤,,0,,,,,,,,,,,,,,,,,,,,,,,
红烧大虾,,1,,,,,,,,,,,,,,,,,,,,,,,
红烧肉,,1,,,,,,,,,,,,,,,,,,,,,,,
红烧鸡块,,1,,,,,,,,,,,,,,,,,,,,,,,
老坛酸菜牛肉面,,1,,,,,,,,,,,,,,,,,,,,,,,
老鸭粉丝汤,,1,,,,,,,,,,,,,,,,,,,,,,,
肉丝杏鲍菇,,1,,,,,,,,,,,,,,,,,,,,,,,
肉丸子玉米汤,1,1,,,,,,,,,,,,1,1,,,,,,,,,,
肉丸玉米汤,,1,,,,,,,,,,,,,,,,,,,,,,,
肉末茄子,,1,,,,,,,,,,,,,,,,,,,,,,,
肉末酸豆角,,1,,,,,,,,,,,,,,,,,,,,,,,
肉饼蒸蛋,,1,,,,,,,,,,,,,,,,,,,,,,,
胡萝卜炒肉,0,1,,,,,,,,,,,,1,,1,,,,,,,,,
腊肉荷兰豆,,1,,,,,,,,,,,,,,,,,,,,,,,
芦笋炒鸡片,,1,,,,,,,,,,,,,,,,,,,,,,,
芹菜腊肉,,1,,,,,,,,,,,,,,,,,,,,,,,
芹菜鸡丝,,1,,,,,,,,,,,,,,,,,,,,,,,
苦瓜炒蛋,1,0,,,,,,,,,,,,,,,,,,,,,1,1,
菌菇鸡腿,,1,,,,,,,,,,,,,,,,,,,,,,,
菠萝古老肉,,1,,,,,,,,,,,,,,,,,,,,,,,
蒜泥生菜,,0,,,,,,,,,,,,,,,,,,,,,,,
蔬菜鸡肉沙拉,,1,,,,,,,,,,,,,,,,,,,,,,,
虎皮尖椒,,0,,,,,,,,,,,,,,,,,,,,,,,
蚝油牛肉杏鲍菇,,1,,,,,,,,,,,,,,,,,,,,,,,
西湖牛肉羹,,1,,,,,,,,,,,,,,,,,,,,,,,
西红柿鸡蛋汤,,0,,,,,,,,,,,,,,,,,,,,,,,
辣椒酿,1,1,,,,,,,,,,,,1,,,4,,,,,,,,
酸菜白肉,,1,,,,,,,,,,,,,,,,,,,,,,,
酸菜鱼,,1,,,,,,,,,,,,,,,,,,,,,,,
酸豆角炒肉末,,1,,,,,,,,,,,,,,,,,,,,,,,
酸豆角肉末,,1,,,,,,,,,,,,,,,,,,,,,,,
酸辣白菜帮,,0,,,,,,,,,,,,,,,,,,,,,,,
酸辣粉,,0,,,,,,,,,,,,,,,,,,,,,,,
醋溜白菜,1,0,,,,,,,,,,,,,,,,,,,,,,,1
青椒五花肉,,1,,,,,,,,,,,,,,,,,,,,,,,
青椒肉丝,,1,,,,,,,,,,,,,,,,,,,,,,,
青椒鸡丝,,1,,,,,,,,,,,,,,,,,,,,,,,
香煎三文鱼,,1,,,,,,,,,,,,,,,,,,,,,,,
香肠炒荷兰豆,,1,,,,,,,,,,,,,,,,,,,,,,,
香肠焖饭,,1,,,,,,,,,,,,,,,,,,,,,,,
香菇时蔬牛肉丸,,1,,,,,,,,,,,,,,,,,,,,,,,
香辣虾,,1,,,,,,,,,,,,,,,,,,,,,,,
鱼香肉丝,,1,,,,,,,,,,,,,,,,,,,,,,,
鱼香茄子,,1,,,,,,,,,,,,,,,,,,,,,,,
鱿鱼芹菜,0,1,,,,,,,,,,,,,,,,1,1,,,,,,
鸡蛋羹,,0,,,,,,,,,,,,,,,,,,,,,,,
麻婆豆腐,1,1,,,,,,,,,,,,1,,,,,,1,,,,,
麻辣里脊丝,,1,,,,,,,,,,,,,,,,,,,,,,,
麻辣鸡丝凉面,,1,,,,,,,,,,,,,,,,,,,,,,,
麻辣鸡杂,,1,,,,,,,,,,,,,,,,,,,,,,,
农家小炒肉,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,